date,Mkt-RF,SMB,HML,RMW,CMA,MOM,STR,BAB,QMJ,RF
196902,-5.84,-4.12,0.9,2.11,0.79,-2.46,2.4,-0.31,4.39,0.46
196903,2.64,-0.4,-0.46,-1.39,-0.41,3.95,0.34,-1.76,0.19,0.46
196904,1.46,-0.82,0.03,0.33,0.08,1.17,-1,-0.48,0.77,0.53
196905,-0.1,-0.18,0.73,-1.03,1.51,1.68,1.44,1.76,1.32,0.48
196906,-7.18,-5.47,-1.09,4.22,-1.53,-2.22,-0.13,-1.31,4.88,0.51
196907,-7,-3.37,1.42,1.3,1.97,1.64,-1.85,-1.04,2.7,0.53
196908,4.68,0.71,-3.87,1.25,-4.08,2.13,3.3,-1.31,-0.08,0.5
196909,-2.98,1.29,-3.19,3.28,-0.83,2.53,0.6,0.12,3.99,0.62
196910,5.06,3.89,-3.19,-0.15,-2.03,-4.32,-0.55,1.2,-1.2,0.6
196911,-3.79,-2.41,-1.12,1.29,0.32,3.6,1.16,-0.38,2.83,0.52
196912,-2.63,-3.7,-3.02,2.09,-2.04,5.05,-3.04,0.57,4.27,0.64
197001,-8.1,3.07,3.04,-2,3.92,0.63,-0.17,0.98,1.48,0.6
197002,5.13,-2.59,4.04,-2.19,3.06,0.12,2.66,2.61,-2.56,0.62
197003,-1.06,-2.42,4.25,-1.02,4.43,-0.29,0.64,4.18,1.09,0.57
197004,-11,-6.3,6.39,-1.01,5.88,-0.73,-4.48,1.39,4.35,0.5
197005,-6.92,-4.41,3.6,-1.42,3.62,-2.69,-3.24,-4.99,0.76,0.53
197006,-5.79,-2.19,0.87,-0.06,2.9,5.78,-0.16,4.39,4.14,0.58
197007,6.93,-0.68,0.96,-0.1,1.9,-2.94,4.33,3.4,0.64,0.52
197008,4.49,1.54,1.03,0.67,-0.15,-6.5,1.46,-1.09,-2.24,0.53
197009,4.18,8.5,-5.58,0.42,-5.93,-8.92,0.55,-5.48,-3.91,0.54
197010,-2.28,-4.5,0.27,1.86,2.38,9.61,6.89,4.33,4.59,0.46
197011,4.59,-4,1.63,1.7,1.59,2.88,-0.52,4.37,1.08,0.46
197012,5.72,3.01,1.01,0.11,0.28,-2.2,2.5,6.05,-0.83,0.42
197101,4.84,7.56,1.38,-2.05,-0.14,-6.59,2,-1.54,-4.12,0.38
197102,1.41,2.05,-1.29,0.56,-0.72,0.81,1.77,-0.28,1.11,0.33
197103,4.13,2.16,-4.04,2.02,-2.69,-1.21,0.2,0.06,0.27,0.3
197104,3.15,-0.37,0.72,-1.43,0.72,1.32,0.91,-0.27,-1.35,0.28
197105,-3.98,-1.17,-1.38,1.31,0.3,0.88,0.56,-0.42,1.53,0.29
197106,-0.1,-1.46,-2.06,1.49,-1.74,2.7,-0.89,1.55,0.57,0.37
197107,-4.5,-1.4,0.17,0.52,1.62,-2.37,1.46,1.52,2.51,0.4
197108,3.79,-0.17,2.67,-0.34,2.6,3.51,5.46,-0.04,-2.56,0.47
197109,-0.85,0.21,-2.96,2.55,-1.56,2.09,0.32,0.08,2.28,0.37
197110,-4.42,-1.65,-0.43,1.32,-1.24,0.46,-1.23,0.84,2.11,0.37
197111,-0.46,-2.91,-1.7,2.21,-0.36,1.48,-0.82,-0.06,1.98,0.37
197112,8.71,3.26,-0.35,-0.4,-1.83,-0.68,3.72,2.98,-1.85,0.37
197201,2.49,6.32,1.99,-1.8,0.29,0.24,-0.29,-4.23,-1.75,0.29
197202,2.87,0.97,-2.76,1.97,-0.52,2.7,-0.03,-0.34,1.17,0.25
197203,0.63,-0.48,-1.73,1.5,-0.19,2.91,1.46,1.3,0.83,0.27
197204,0.29,0.15,0.23,-0.46,-0.89,2.9,0.18,-0.3,-0.54,0.29
197205,1.25,-3.15,-2.69,2.39,-1.85,3.19,-1.05,1.02,3.27,0.3
197206,-2.43,-0.35,-2.51,1.73,-0.36,1.93,-1.7,0.06,3.05,0.29
197207,-0.8,-2.74,0.78,1.02,-0.59,2.75,-2.25,1.45,2.23,0.31
197208,3.26,-3.54,4.69,-2.18,2.95,-5.34,0.63,2.28,-1.39,0.29
197209,-1.14,-2.25,0.47,1.65,-1.98,1.75,1.45,0.3,1.48,0.34
197210,0.52,-2.53,1.37,-0.08,-0.05,0.75,-0.7,2.45,-0.01,0.4
197211,4.6,-0.53,4.76,-2,3.35,-5.14,3.35,3.04,-2.14,0.37
197212,0.62,-1.82,-2.27,2.41,-2.2,4.98,3.88,1.54,2.91,0.37
197301,-3.29,-2.79,2.68,0.48,0.92,3.71,-1.39,-0.85,2.95,0.44
197302,-4.85,-4.02,1.7,-0.53,-0.01,2.12,-2.21,-0.02,0.99,0.41
197303,-1.3,-2.32,2.78,-0.97,0.73,3.62,0.43,-0.61,-0.14,0.46
197304,-5.68,-3.01,5.69,-1.77,2.71,6.4,-0.66,1.29,0.76,0.52
197305,-2.94,-5.99,0.21,1.9,-1.79,7.09,-1.02,0.71,1.68,0.51
197306,-1.56,-2.55,1.44,-0.34,0.22,4.31,0.15,-0.79,1.44,0.51
