date,Mkt-RF,SMB,HML,RMW,CMA,MOM,STR,BAB,QMJ,RF
198802,4.75,3.33,-1.64,1.88,-0.07,-1.54,4.36,-1.22,-0.14,0.46
198803,-2.27,6.25,0.75,-0.28,1.86,0.63,-0.9,5.47,-1.71,0.44
198804,0.56,1.12,1.68,-0.2,1.89,2.25,0.33,1.89,-0.09,0.46
198805,-0.29,-2.6,2.28,-0.76,0.34,0.64,0.58,1.02,1.02,0.51
198806,4.79,2.2,-1.1,1.49,-3.32,-2.91,1.82,-0.48,0.27,0.49
198807,-1.25,-0.17,2.27,-0.65,1.47,0.63,3.39,1.68,-0.68,0.51
198808,-3.31,-0.01,2.03,-0.74,1.76,0.33,-1.95,1.38,0,0.59
198809,3.3,-1.3,-0.68,1.73,-0.48,0.24,-0.14,-2.14,1.2,0.62
198810,1.15,-2.95,1.71,1.43,1.05,1.31,-0.91,0.19,0.6,0.61
198811,-2.29,-1.67,1.24,-0.32,1.58,0.42,-0.67,-1.93,0.49,0.57
198812,1.49,2,-1.56,0.67,-0.37,0.42,2.25,-2.49,0.84,0.63
198901,6.1,-2.22,0.51,-0.91,0.17,-0.14,1.05,0.86,-1.57,0.55
198902,-2.25,2.66,0.88,-0.76,1.87,0.93,1.08,1.05,-0.54,0.61
198903,1.57,0.75,0.47,0,0.75,3.54,-0.88,2.1,-0.85,0.67
198904,4.33,-0.69,-1.46,0.76,-0.52,1.7,-0.71,0.85,1.62,0.67
198905,3.35,0,-0.83,0.43,-0.02,1.56,-2.74,-0.43,0.52,0.79
198906,-1.35,-1.09,2.19,0.13,1.5,0.65,2.28,1.98,-0.33,0.71
198907,7.2,-4.06,-2.83,1.91,-0.63,5.44,1.3,0.89,1.74,0.7
198908,1.44,0.44,0.72,0.47,-0.5,-0.14,1.84,0.85,-0.37,0.74
198909,-0.76,0.46,-1.34,1.21,0.59,3.4,1.19,0.1,0.23,0.65
198910,-3.67,-3.32,-1.03,0.07,0.03,1.37,-4.27,0.41,3.29,0.68
198911,1.03,-1.32,-1.12,-1,1.47,2.58,-1.75,1.25,0.46,0.69
198912,1.16,-2.31,0.28,-0.16,1.44,2.81,-2.54,-0.92,1.71,0.61
199001,-7.85,-1.37,0.87,-1.39,1.32,-3.28,1.08,-0.24,0.74,0.57
199002,1.11,1.17,0.61,-0.2,-0.64,-0.53,0.44,-1.42,-0.73,0.57
199003,1.83,1.63,-2.9,2.13,-1.03,1.65,0.24,-0.02,1.64,0.64
199004,-3.36,-0.42,-2.55,1.59,-0.98,2.4,-2.02,-2.44,2.63,0.69
199005,8.42,-2.38,-3.74,1.78,-1.57,3.05,-0.45,-2.02,0.44,0.68
199006,-1.09,1.37,-1.94,-1.22,-0.34,2.43,-0.19,1.27,1.73,0.63
199007,-1.9,-3.29,-0.02,-0.44,3.09,5.93,-0.56,0.48,2.33,0.68
199008,-10.15,-3.88,1.59,-0.45,2.99,1.78,-3.52,-1.98,1.4,0.66
199009,-6.12,-3.77,0.73,0.01,3.71,5.53,-6,0.16,4.28,0.6
199010,-1.92,-5.1,0.25,2.92,-0.47,6.73,-2.62,-4.04,4.71,0.68
199011,6.35,-0.05,-3.16,0.81,-4.74,-5.62,5.9,-5.06,-0.49,0.57
199012,2.46,0.65,-1.56,2.91,-2.03,0.16,-3.11,-1.33,2.48,0.6
199101,4.69,3.89,-1.85,1.47,-4.09,-6.51,-2.03,-6.29,-0.52,0.52
199102,7.19,3.93,-0.53,-0.3,-0.15,-4.73,1.99,1.57,-3.18,0.48
199103,2.65,3.84,-1.24,-0.36,-1,2.81,0.47,1.12,-0.42,0.44
199104,-0.28,0.35,1.41,0.64,0.7,-2.4,1.6,4.99,-0.27,0.53
199105,3.65,0.17,-0.57,2.17,-2.45,-0.1,0.34,1.17,-0.46,0.47
199106,-4.94,0.15,1.22,1.59,0.63,0.46,2.1,2.53,2.57,0.42
199107,4.24,-0.95,-1.26,1.45,-1.41,4.31,2.06,0.36,-0.13,0.49
199108,2.32,1.48,-0.79,0.93,-0.56,1.62,-2.92,1.32,-0.11,0.46
199109,-1.59,1.55,-1,-1.79,0.16,1.73,-0.85,2.83,-1.05,0.46
199110,1.29,0.9,-0.44,-1.9,-0.3,3.21,-1.26,2.33,-1.3,0.42
199111,-4.19,-0.88,-1.93,0.91,0.12,1.26,-0.4,2.58,3.67,0.39
199112,10.84,-2.39,-4.04,3.82,-3.13,8.29,1.01,-3.29,1.92,0.38
199201,-0.59,9.25,4.53,-1.34,3.17,-2.47,5.29,5.29,-4.73,0.34
199202,1.09,1.38,6.37,0.28,2.04,-0.59,-2.69,3.74,-1.21,0.28
199203,-2.66,-0.91,3.65,-0.13,1.94,-0.35,-1.09,2.45,1.34,0.34
199204,1.07,-5.73,4.3,1.74,2.21,-2.61,-3.37,-0.36,1.06,0.32
199205,0.3,0.21,1.27,-1.02,0.42,0.12,-0.17,1,-0.03,0.28
199206,-2.34,-2.71,3.41,-0.06,1.07,-0.6,0.88,1.63,1.32,0.32
199207,3.77,-0.65,-0.53,1.27,-0.71,1.43,2.05,1.27,1.26,0.31
199208,-2.38,-0.41,-1.04,3.79,-1.6,-0.52,-1.56,1.03,3.67,0.26
199209,1.19,0.5,-0.21,1.67,-0.5,1.43,-1.15,1.71,0.57,0.26
199210,1.02,2.03,-2.1,1.35,-0.81,2.71,-0.16,-0.42,1.47,0.23
199211,4.13,3.93,-1.48,-0.79,-1.92,-0.34,-1.05,-0.52,-1.44,0.23
199212,1.53,1.64,2.52,-0.53,0.75,4.44,1.21,3.41,-1.23,0.28
199301,0.93,2.1,5.87,-1.63,2.78,4.84,-0.51,7.87,-3.67,0.23
199302,0.12,-3.45,6.42,-0.4,4.05,3.1,-1.41,5.79,-1.94,0.22
199303,2.3,0.04,1.22,-0.34,0.92,3.74,-0.94,4.73,-1.28,0.25
199304,-3.05,-0.88,2.61,-3.57,1.52,0.33,-1.71,4.88,-2.73,0.24
199305,2.89,1.9,-3.41,-0.05,-1.17,0.29,1.45,0.94,-1.05,0.22
199306,0.31,0.12,2.61,-0.87,1.1,4.58,2.24,3.55,-1.9,0.25
199307,-0.34,0.9,3.24,-2.14,2.02,3.24,-2.67,3.59,-1.57,0.24
199308,3.71,0.26,-0.45,-1.1,-0.03,2.58,1.23,2.22,-0.22,0.25
199309,-0.12,3.06,-0.45,0.69,-0.09,3.41,0.66,3.09,-0.29,0.26
199310,1.41,1.6,-1.54,-0.06,0.6,-2.67,1.93,3.24,-0.56,0.22
199311,-1.89,-1.42,-0.27,1.73,-0.96,-4.71,-1.37,-3.49,1.55,0.25
199312,1.65,1.37,0.57,0.79,-0.3,2.28,1.13,1.29,0.25,0.23
199401,2.87,-0.15,2.09,-2.31,1.47,0.02,1.73,3.47,-2.73,0.25
199402,-2.55,2.65,-1.44,2.52,-1.05,-0.29,0.42,-1.15,2.43,0.21
199403,-4.78,-1.03,1.31,0.61,1.25,-1.33,0.1,-0.74,1.46,0.27
199404,0.68,-1.06,1.68,0.89,1.12,0.42,-0.35,-1.23,0.92,0.27
199405,0.58,-2.45,0.2,0.89,0.72,-2.15,0.07,0.88,0.3,0.31
199406,-3.03,-0.52,1.68,1.08,1.49,-0.83,0.18,1.42,1.6,0.31
199407,2.82,-1.83,0.6,-0.88,0.13,0.19,1.41,-0.72,-0.65,0.28
199408,4.01,1.24,-2.83,0.51,-1.43,1.54,1.46,-2.19,1.5,0.37
199409,-2.31,2.65,-1.91,0.46,0.96,1.32,-0.73,3.81,1.04,0.37
199410,1.34,-2.34,-1.75,0.3,-0.62,1.41,-0.25,-1.93,2.88,0.38
199411,-4.04,0.12,-0.95,0.78,-0.45,-0.2,-2.09,-3.8,2.73,0.37
199412,0.86,-0.03,0.53,0.3,0.32,3.5,0.83,-3.02,0.79,0.44
199501,1.8,-2.73,0.82,0.86,-0.84,-1.82,4.06,1.27,0.81,0.42
199502,3.63,-0.57,1.05,0.57,-0.32,-0.34,2.41,1.47,-0.31,0.4
199503,2.19,-0.77,-1.07,-0.66,0.18,0.36,-0.12,1.14,0.88,0.46
199504,2.11,-0.44,2.25,-0.61,1.02,1.82,-0.55,1.34,-0.04,0.44
199505,2.9,-2.04,1.69,0.72,0.09,-0.43,-0.42,1.36,0.01,0.54
199506,2.72,2.95,-2.27,-0.59,-2.43,2.88,1.23,1.85,-0.89,0.47
199507,3.72,2.12,-1.69,0.64,-1.69,2.54,-2.23,1.43,-0.88,0.45
199508,0.55,1.83,2.71,-1.34,1.63,0.09,1.31,3.97,-1.82,0.47
199509,3.35,-1.9,-0.77,1.24,0.36,2.71,-0.84,3.28,1.98,0.43
199510,-1.52,-4.08,-0.75,1.92,-0.06,4.12,-1.05,-0.41,4.9,0.47
199511,3.96,-1.17,0.94,-0.81,1.19,-0.64,0.56,-1.04,-0.44,0.42
199512,1.03,0.7,0.85,-1.04,2.97,2.54,-0.96,2.69,-0.83,0.49
199601,2.26,-2.52,0.32,-0.21,2.26,0.57,1.06,4.43,-1.59,0.43
199602,1.33,1.79,-1.43,0.24,-1.79,0.58,2.15,0.74,0.73,0.39
199603,0.73,1.52,0.99,1.17,-0.96,-1.88,-0.06,2.59,-0.75,0.39
199604,2.06,4.63,-3.9,0.09,-2.18,-0.91,0.72,0.1,0.25,0.46
199605,2.36,3.12,-1.21,0.23,-0.21,1.56,-1.05,3.62,0.34,0.42
199606,-1.14,-3.47,1.55,3.43,1.09,1.01,-0.23,3.47,2.64,0.4
199607,-5.97,-3.61,4.45,3.23,2.6,-0.11,-2.5,-0.13,2.14,0.45
199608,2.77,2.52,-0.46,-0.47,-2.43,-0.05,2.65,0.79,-0.53,0.41
199609,5.01,-1.33,-3.15,1.35,-2.18,2.69,0.55,1.26,1.8,0.44
199610,0.86,-3.87,5.12,1.38,2.97,3.91,-1.13,3.17,0.96,0.42
199611,6.25,-3.8,1.16,1.7,-0.73,-2.23,0.16,0.9,2.09,0.41
199612,-1.7,3.19,0.9,0.37,1.51,0.61,0.56,2.49,0.24,0.46
199701,4.98,-1.82,-1.64,1.03,-0.27,1.95,2.68,4.01,0.64,0.45
199702,-0.49,-2.55,5.19,0.53,3.4,-2.05,1.26,5.79,0.66,0.39
199703,-5.02,-0.43,3.81,0.83,1.67,0.97,0.91,2.97,0.86,0.43
199704,4.04,-5.75,-0.07,2.93,-0.91,4.92,2.38,-1.47,3.76,0.43
199705,6.74,4.63,-3.87,-1.12,-2.9,-5.16,2.86,-1.88,-0.17,0.49
199706,4.1,1.23,1.23,0.59,0.54,2.62,0.81,5.72,0.77,0.37
199707,7.33,-2.85,0.84,-0.41,-2.54,3.81,3.82,0.83,0.31,0.43
199708,-4.15,7.67,1.38,-0.91,-0.03,-2.55,-0.07,2.17,-1.33,0.41
199709,5.35,2.55,0.02,-1.39,-0.91,1.45,1.66,8.11,-1.79,0.44
199710,-3.8,-0.49,1.96,1.21,1.89,-0.38,-0.96,4.65,1.18,0.42
199711,2.98,-5.02,0.78,3.21,1.66,0.29,-2.03,1.63,3.31,0.39
199712,1.32,-2,3.46,1.32,1.91,3.95,-3.05,6.64,0.42,0.48
199801,0.15,-1.4,-1.45,0.55,-0.83,0.11,5,-1.3,1.46,0.43
199802,7.04,-0.05,-0.13,-0.98,-2.42,-1.14,1.87,0.16,-0.13,0.39
199803,4.76,-0.61,1.06,-0.65,-0.48,2.15,1.82,3.79,-0.81,0.39
199804,0.73,-0.02,0.74,-2.19,-0.23,0.78,1.72,3.11,-0.14,0.43
199805,-3.07,-3.11,4.16,0.9,2.54,1.88,0.71,1.69,1.24,0.4
199806,3.18,-3.66,-2.32,-0.21,-2.91,7.26,-1.48,-1.2,1.2,0.41
199807,-2.46,-5.28,-0.97,2.04,0.44,3.68,-1.84,-0.19,2.15,0.4
199808,-16.08,-5.04,3.4,3.21,5.84,1.88,-2.65,-0.82,7.25,0.43
199809,6.15,-0.88,-3.31,-2,-2.9,-0.71,2.79,-3.66,-0.42,0.46
199810,7.13,-3.51,-2.2,0.71,0.27,-5.36,9.86,-8.72,0.83,0.32
199811,6.1,0.66,-3.14,-1.01,-1.14,1.16,1.21,-3.61,-0.11,0.31
199812,6.16,-1.54,-4.46,-0.94,-3.35,8.99,-1.67,-2.76,0.42,0.38
199901,3.5,-0.76,-4.03,-2.67,-6.88,3.04,-2.3,-3.64,-3.45,0.35
199902,-4.08,-5.08,1.4,-1.16,4.09,-0.16,2.34,1.08,-0.35,0.35
199903,3.45,-4.32,-2.64,-4.28,-1.38,-1.29,0.23,-7.2,-2.49,0.43
199904,4.33,4.63,2.51,-2.62,0.93,-9.06,2.44,-0.39,-4.61,0.37
199905,-2.46,3.72,2.4,1,3.34,-5.28,1.11,3.56,1.85,0.34
199906,4.77,2.28,-3.59,1.41,-3.39,4.89,1.53,-1.4,0.89,0.4
199907,-3.47,2.51,-0.77,0.45,3.09,1.52,1.37,0.14,2.06,0.38
199908,-1.38,-1.93,-1.31,-0.26,0.32,2.92,-3.24,-2.6,2.34,0.39
199909,-2.81,2.57,-3.39,-0.8,-1.04,6.44,-0.82,-4.38,0.82,0.39
199910,6.13,-7.12,-2.88,-1.96,-1.27,5.48,-1.03,-2.92,0.29,0.39
199911,3.37,5.87,-6.5,-4.29,-1.56,5.62,0.17,-12.22,-1.75,0.36
199912,7.72,5.52,-8.67,-7.72,-5.15,13.19,-13.96,-11.86,-3.11,0.44
200001,-4.74,4.18,-0.31,-5.57,4.68,1.86,2.58,2.55,-4.01,0.41
200002,2.45,18.27,-9.94,-18.72,-0.52,18.36,-13.38,-7.91,-10.35,0.43
200003,5.2,-14.85,7.37,12.11,-1.05,-6.39,9.89,1.92,6.44,0.47
200004,-6.4,-5.6,8.6,7.29,5.24,-8.58,-1.97,3.99,7.8,0.46
200005,-4.42,-3.68,2.56,4.63,0.73,-9.08,-8.7,3.61,4.37,0.5
200006,4.64,10.31,-9.86,-7.58,-3.06,16.6,12.24,-10.24,-5.12,0.4
200007,-2.51,-0.93,8.14,6.27,3,-0.11,6.5,4.2,3.72,0.48
200008,7.03,-1.11,-0.68,-3.14,0.61,5.71,0.46,-6.32,-3.2,0.5
200009,-5.45,0.23,6.24,3.22,6.38,2.18,2.49,6.42,3.28,0.51
200010,-2.76,-2.76,5.52,9.8,4.7,-4.63,-4.78,1.05,8.41,0.56
200011,-10.72,-0.39,11.3,13.51,8.51,-2.41,-14.61,12.59,12.92,0.51
200012,1.19,3.17,7.33,1.96,5.71,6.7,-6.6,2.1,-0.98,0.5
200101,3.13,5.73,-4.9,-4.91,-6.54,-25.06,16.21,-14.33,-6.37,0.54
200102,-10.05,2.73,12.9,9.49,9.58,12.51,12.22,13.7,7.97,0.38
200103,-7.26,2.35,6.45,3.47,3.95,8.35,-7.65,8.49,5.22,0.42
200104,7.94,-0.68,-4.69,-2.98,-3.97,-7.97,9.87,-5.52,-2.52,0.39
200105,0.72,3.6,3.14,0.28,2.19,2.12,3.63,7.24,-1.22,0.32
200106,-1.94,6.59,-1.06,1.64,-1.8,0.35,0.5,4.3,2.3,0.28
200107,-2.13,-2.84,5.58,7.45,3,5.47,1.28,7.56,4.98,0.3
200108,-6.46,2.73,2.5,3.86,6.5,5.54,-3.92,4.68,4.42,0.31
200109,-9.25,-5.58,1.6,5.44,3.28,11.53,-4.91,5.9,6.57,0.28
200110,2.46,5.37,-8.1,-2.95,-4.6,-8.41,14.8,-8.9,-1.69,0.22
200111,7.54,-0.36,2,-3.93,-1.66,-8.58,-3.14,-5.99,-2.6,0.17
200112,1.61,5.13,1.1,0.42,-0.32,-0.02,1.72,-2.77,-0.57,0.15
200201,-1.44,1.2,3.33,4.29,2.84,3.69,1.54,4.08,4.39,0.14
200202,-2.29,-0.42,2.5,7.78,5.14,6.76,-0.09,9.47,4.17,0.13
200203,4.24,4.22,1.1,-1.6,0.58,-1.67,2.83,1.46,-2.07,0.13
200204,-5.2,6.62,3.93,4.28,5.39,7.96,2.06,10.73,2.61,0.15
200205,-1.38,-3.04,1.69,2.26,2.41,2.97,-2.68,7.79,2.19,0.14
200206,-7.21,3.8,0.13,3.93,2.54,6.15,-3.37,7.85,3.62,0.13
200207,-8.18,-6.23,-3.41,3.98,-0.73,3.34,1.5,-0.67,6.34,0.15
200208,0.5,-1.23,2.49,1.47,-1.61,1.77,1.38,1.21,1.03,0.14
200209,-10.35,3.08,1.31,3.22,-2.29,9.09,-1.85,4.34,4.72,0.14
200210,7.84,-4.12,-5.46,-3.14,0.92,-5.3,7.52,-5.65,0.05,0.14
200211,5.96,2.83,-1.15,-9.5,5.16,-16.17,0.21,-13.75,-9.59,0.12
200212,-5.76,0.54,2.25,6.2,-1.61,9.65,10.58,9.48,4.65,0.11
200301,-2.57,0.83,-0.93,-0.61,0.81,1.62,0.2,3.63,-0.11,0.1
200302,-1.88,-0.89,-1.45,1.11,-0.54,1.25,-0.78,1.82,2.51,0.09
200303,1.09,0.58,-2.09,1.99,-0.69,1.61,-0.22,1.53,0.5,0.1
200304,8.22,1.03,1.03,-4.66,1.14,-9.46,3.09,-3.29,-5.57,0.1
200305,6.05,4.79,-0.3,-7.11,3.22,-10.77,-1.44,-3.28,-7.43,0.09
200306,1.42,1.68,0.66,0.54,-0.32,-1.06,-0.06,3.07,-1.01,0.1
200307,2.35,4.71,-1.15,-4.07,1.89,-0.31,2.47,-4.72,-2.51,0.07
200308,2.34,2.53,2.03,-2.39,2.19,-0.56,-1.45,0.51,-1.98,0.07
200309,-1.24,0.51,0.02,1.16,0.28,-0.19,4.52,2.13,0,0.08
200310,6.08,2.63,1.75,-1.55,1.58,3.73,2.1,0.54,-1.7,0.07
200311,1.35,2.19,1.86,-0.18,1.69,1.62,-1.5,4.6,-0.05,0.07
200312,4.29,-2.7,2.42,-0.04,1,-5.71,1.74,5.99,-1.88,0.08
200401,2.15,2.56,1.98,-3.59,3.34,2.6,2.29,-1.97,-4.08,0.07
200402,1.4,-0.89,0.49,2.54,-1.35,-1.09,1.46,5.41,0.21,0.06
200403,-1.32,2.1,0.21,1.59,-1.04,0.21,-2.15,5.02,1.96,0.09
200404,-1.83,-2.18,-2.62,3.13,-2.82,-5.39,-0.21,-0.13,3.67,0.08
200405,1.17,-0.41,-0.39,-1.08,-0.09,1.61,2.26,0.34,-0.56,0.06
200406,1.86,2.55,1.38,1.02,-0.39,2.1,0.3,2.63,-0.47,0.08
200407,-4.06,-2.99,4.11,5.28,-1.63,-2.29,-1.34,5.74,4,0.1
200408,0.08,-1.28,1.03,1.3,-1.41,-1.55,-2.36,2.85,0.26,0.11
200409,1.6,3.3,-0.25,-1.26,-1.88,5.24,3.04,2.89,-1.61,0.11
200410,1.43,0.29,-0.62,-0.08,0.41,-1.52,0.15,1.93,0.73,0.11
200411,4.54,4.13,1.8,-1.09,-0.23,3.23,1.47,2.81,-2.58,0.15
200412,3.43,0.01,-0.06,-1.34,0.5,-2.84,0.91,1.42,-0.97,0.16
200501,-2.76,-1.11,1.96,3.12,-1.37,3.21,1.49,4.1,1.59,0.16
200502,1.89,-0.29,1.64,1.33,-0.06,3.16,-2.35,3.33,-0.07,0.16
200503,-1.97,-1.41,1.56,0.49,1.09,0.54,0.13,0.45,1.78,0.21
200504,-2.61,-4.04,-0.35,0.82,-0.89,-0.85,-1.85,1.72,1.9,0.21
200505,3.65,2.71,-0.83,-1.37,0.26,0.43,3.16,-1.73,0.11,0.24
200506,0.57,3.28,2.62,1.14,-0.53,2.05,0.04,3.6,-0.88,0.23
200507,3.92,2.79,-0.51,-1.43,-0.98,-0.01,-0.11,1.58,-1.97,0.24
200508,-1.22,-0.88,1.27,-2.32,0.45,2.27,-1.44,0.2,-1.04,0.3
200509,0.49,-0.29,0.77,0.56,-0.57,3.46,-3.73,0.28,-1.16,0.29
200510,-2.02,-1.4,0.23,-0.59,-1.26,-1.28,1.58,-2.17,1.61,0.27
200511,3.61,0.79,-1.18,-0.68,-1.17,0.25,0.09,-0.11,-0.21,0.31
200512,-0.25,-0.25,0.44,0.29,0.21,0.77,1.95,0.85,-2.16,0.32
200601,3.04,5.76,1.12,-0.97,-0.53,2.68,-1.1,0.96,-3.03,0.35
200602,-0.3,-0.42,-0.25,-0.51,2.03,-1.84,3.35,0.74,-0.94,0.34
200603,1.46,3.43,0.61,-0.24,-0.53,1.26,0.03,0.95,-0.9,0.37
200604,0.73,-0.81,2.59,1.31,-0.2,0.61,-0.36,1.31,-0.81,0.36
200605,-3.57,-3.01,2.55,0.89,1.31,-3.65,-0.03,0.24,1,0.43
200606,-0.35,-0.23,0.87,1.41,-0.12,1.49,-0.61,0.02,1.31,0.4
200607,-0.78,-3.67,2.94,1.74,0.93,-2.21,0.24,2,0.7,0.4
200608,2.03,0.44,-1.72,-1.76,2.15,-3.47,1.75,-0.5,-0.46,0.42
200609,1.84,-1.44,0.05,0.91,0.54,-0.94,0.73,-0.16,1.52,0.41
200610,3.23,1.92,-0.04,-0.29,0.24,-0.24,-0.24,0.42,-1.65,0.41
200611,1.71,0.83,0.07,0.2,-0.87,-1.01,-0.97,1.26,-0.92,0.42
200612,0.87,-0.8,3.16,-0.73,2.05,0.84,2.38,2.53,-0.45,0.4
200701,1.4,0.06,-0.11,0.12,0.23,0.21,1.06,1.33,-1.28,0.44
200702,-1.96,1.39,-0.09,-0.48,-0.75,-1.35,0.25,1.18,-0.91,0.38
200703,0.68,0.05,-0.22,0.19,-0.61,2.47,-2.02,-0.11,-0.12,0.43
200704,3.49,-2.02,-1.15,0.95,1.01,-0.16,-0.3,0.77,-0.26,0.44
200705,3.24,0.3,-0.05,1.24,-1.3,-0.26,-1.13,-1.08,0.64,0.41
200706,-1.96,0.75,-1.13,0.41,0.07,0.38,-0.84,0.68,1.1,0.4
200707,-3.73,-2.89,-3.34,0.45,-1.04,2.8,-3.38,-0.67,1.82,0.4
200708,0.92,-0.36,-2.24,-1.05,-0.55,0.11,-2.64,-2.91,1.61,0.42
200709,3.22,-2.42,-1.87,-0.51,-3.17,4.58,0.3,1.38,-1.26,0.32
200710,1.8,0.03,-2.59,-0.2,-0.1,4.96,-3.89,0.26,-0.58,0.32
200711,-4.83,-2.85,-1.18,1.62,-0.33,0.93,-1.71,-3.84,4.16,0.34
200712,-0.87,0.19,-0.52,0.87,-1.09,6.52,-2.05,-2.6,1.07,0.27
200801,-6.36,-0.52,3.65,1.89,2.2,-7.89,6.97,-2.05,-0.17,0.21
200802,-3.09,-0.49,-0.95,0.83,-1.07,6.14,5.03,2.25,2.15,0.13
200803,-0.93,0.7,-0.15,0.77,0.47,4.1,-0.26,-6.68,2.71,0.17
200804,4.6,-1.11,-0.96,1.64,-2.56,-0.2,3.14,-2.14,-0.91,0.18
200805,1.86,3.23,-1.38,0.86,0.04,3.21,-2.33,0.86,1.04,0.18
200806,-8.44,1.15,-2.43,4.39,-0.42,12.54,-7.16,0.41,3.76,0.17
200807,-0.77,3.68,5.81,-0.95,1.07,-5.15,8.18,-6.76,0.08,0.15
200808,1.53,3.42,1.56,1.74,0.81,-4.05,-0.71,-1.36,2.68,0.13
200809,-9.24,0.38,6.33,2.81,1.8,0.39,-3.66,-9.36,4.18,0.15
200810,-17.23,-3.22,-2.89,3.42,1.87,7.8,-9.59,-4.98,9.06,0.08
200811,-7.86,-3.87,-5.94,4.82,2.72,7.12,-10.15,-3.64,8.44,0.03
200812,1.74,3.37,-0.24,0.13,-1.38,-5.06,5.21,-7.68,-0.2,0
200901,-8.12,-2.02,-11.1,0.38,-1.22,-1.88,0.51,11.65,3.63,0
200902,-10.1,-1.15,-7.25,1.94,-1.14,4.13,-6.79,-0.26,5.77,0.01
200903,8.95,0.63,3.53,-2.44,-2.25,-11.54,3.54,-2.74,-3.66,0.02
200904,10.19,6.71,5.46,0.25,0.17,-34.39,-6.85,-7.86,-7.26,0.01
200905,5.21,-2.35,-0.21,-1.18,-2.13,-12.44,-2.88,6.38,-6.45,0
200906,0.43,2.32,-2.71,-0.92,-0.16,5.29,4.9,9.14,2.83,0.01
200907,7.72,2.48,5.28,-0.47,3.21,-5.36,4.34,-3.67,-4.26,0.01
200908,3.33,-0.06,7.76,-3.05,3.19,-8.83,-2.11,-2.17,-6.96,0.01
200909,4.08,2.75,0.92,1.68,0.38,-4.93,1.23,-0.46,-2.15,0.01
200910,-2.59,-4.76,-4.17,4.21,-1.67,2.62,2.22,0.84,5.67,0
200911,5.56,-2.79,-0.17,0.72,0.16,0.29,0.25,-1.24,-0.34,0
200912,2.75,6.27,0.01,0.73,-0.08,2.93,1.6,0.96,-0.27,0.01
201001,-3.36,0.3,0.31,-1.32,0.44,-5.4,3.67,0.98,-0.76,0
201002,3.4,1.46,3.16,-0.46,1.4,3.64,1.79,0.76,-0.62,0
201003,6.31,1.77,2.1,-0.62,1.71,3.65,0.8,1.52,-3.19,0.01
201004,2,5.05,2.81,0.91,1.7,3.2,-1.77,1.53,-3.52,0.01
201005,-7.89,0.04,-2.38,1.08,-0.22,-0.14,0.55,-0.63,2.76,0.01
201006,-5.56,-2.51,-4.5,-0.18,-1.54,-3,-4.84,2.28,2.93,0.01
201007,6.93,0.07,-0.27,0.13,1.99,1.89,4.02,-2.25,-1.73,0.01
201008,-4.77,-3.13,-1.95,0.48,-1.7,-0.18,1.05,1.62,1.1,0.01
201009,9.54,3.73,-3.12,-0.09,0.49,1.35,3.18,-1.19,-0.34,0.01
201010,3.88,0.79,-2.59,1.41,-0.22,1.63,-1.35,2.09,0.4,0.01
201011,0.6,3.6,-0.9,0.3,1.63,2.53,-0.95,-0.56,-0.59,0.01
201012,6.82,0.99,3.81,-3.53,3.22,-3.19,2.42,-0.14,-4.63,0.01
201101,1.99,-2.41,0.81,-0.8,0.69,-0.33,0,3.04,-1.21,0.01
201102,3.49,1.64,1.09,-1.9,0.94,2.01,-1.1,0.77,-0.95,0.01
201103,0.45,2.66,-1.55,1.48,0,3.55,-0.79,0.41,1.71,0.01
201104,2.9,-0.51,-2.51,1,-0.83,0.06,-1.01,0.54,1.22,0
201105,-1.27,-0.69,-2.06,1.98,-1.49,-0.6,-1.24,1.45,2.82,0
201106,-1.75,0.09,-0.31,2.3,-1.46,1.73,-1.07,0.44,2.95,0
201107,-2.36,-1.28,-1.23,2.6,-1.82,0.09,-1.15,-0.28,0.99,0
201108,-5.99,-3.21,-2.44,3.13,-0.21,-0.33,-1.35,0.83,5.99,0.01
201109,-7.59,-3.72,-1.46,2,0.24,-2.57,-9.71,2.02,6.87,0
201110,11.35,3.54,-0.17,-1.96,-0.87,-1.43,12.3,-5.99,-4.13,0
201111,-0.28,-0.27,-0.35,1.7,1.53,3.99,1.18,0.46,3.31,0
201112,0.74,-0.45,1.74,0.89,2.39,1.93,-1.45,1.29,1.01,0
201201,5.05,2.14,-1.09,-1.82,-1.4,-7.92,6.62,0.66,-4.26,0
201202,4.42,-1.62,0.09,-0.17,-0.06,-0.31,-0.43,2.56,-0.82,0
201203,3.11,-0.46,0.87,-0.48,0.79,1.51,-0.72,3.94,0.59,0
201204,-0.85,-0.58,-0.47,1.2,0.66,3.83,-0.55,2.83,1.15,0
201205,-6.19,-0.08,-0.62,2.27,2.37,6.62,-3.48,2.35,3.29,0.01
201206,3.89,0.95,0.44,-1.37,0.34,-1.13,-0.74,1.04,-0.99,0
201207,0.79,-2.69,-0.25,0.77,0.12,3.13,1.41,1.03,1.17,0
201208,2.55,0.45,1.28,-1.34,-0.74,-2.48,3.07,-0.83,-0.84,0.01
201209,2.73,0.69,1.52,-1.08,1.62,-1.02,-0.13,0.83,-1.57,0.01
201210,-1.76,-0.81,3.79,-1.47,2.26,0.1,0.38,2.17,-1.95,0.01
201211,0.78,0.32,-0.96,0.35,0.9,0.38,0.85,-1.31,1.15,0.01
201212,1.18,1.91,3.55,-1.69,0.87,-2.94,0.08,-0.98,-2.42,0.01
