date,isu,acr,ivol1m
04-01-1964,-0.007524824,-0.002173979,0.050090964
05-01-1964,-0.010087196,0.016662562,0.007263632
06-01-1964,0.016643853,-0.008777663,0.040232558
07-01-1964,-0.020596111,0.019857968,0.003117004
08-01-1964,-0.005049998,0.004061994,0.016453936
09-01-1964,-0.020962777,-0.0139652,-0.003860524
10-01-1964,-0.005144705,-0.002532294,0.016743834
11-01-1964,0.000199415,-0.009986758,0.005186391
12-01-1964,0.007110279,0.005406867,0.028395131
01-01-1965,0.004751374,-0.003341584,-0.052101009
02-01-1965,0.026064029,0.011825415,-0.033006877
03-01-1965,0.008021654,-0.000311949,-0.023900773
04-01-1965,0.019726821,-0.009723023,0.004726886
05-01-1965,-0.002800019,0.008393279,0.011286993
06-01-1965,0.000875023,0.006067729,0.085396518
07-01-1965,0.001160141,0.001686605,-0.020858369
08-01-1965,0.027527327,0.019548023,-0.03695119
09-01-1965,0.0039772,-0.008938811,-0.021543908
10-01-1965,0.00303131,0.013934766,-0.06949625
11-01-1965,0.01401769,0.010951536,-0.076979273
12-01-1965,-0.002530991,0.014952345,-0.014545025
01-01-1966,0.008047065,0.024007686,-0.06739353
02-01-1966,0.039563985,0.005194687,-0.094707849
03-01-1966,0.035699304,0.017346858,-0.011731295
04-01-1966,0.045645322,0.015735063,-0.036362438
05-01-1966,-0.007511089,-0.007922442,0.08209143
06-01-1966,0.017225197,0.021338033,-0.024339496
07-01-1966,-0.005876174,0.010508411,0.028743402
08-01-1966,0.000181873,0.009905585,0.027714064
09-01-1966,-0.009383583,0.019863749,0.034868481
10-01-1966,0.000677975,0.025847913,0.140490701
11-01-1966,0.091752127,0.012967491,-0.101686306
12-01-1966,0.013962206,0.00520905,0.006022753
01-01-1967,0.002838661,-0.013244873,-0.118778544
02-01-1967,0.041771764,0.006987627,-0.043984641
03-01-1967,0.010090751,-0.008514301,-0.003176651
04-01-1967,-0.015413587,-0.008055414,0.006116963
05-01-1967,-0.006141854,0.001091234,-0.037381289
06-01-1967,0.00897579,0.027728088,-0.091655912
07-01-1967,-0.039846709,-0.030897632,-0.05525197
08-01-1967,-0.007430606,0.004785053,0.015551973
09-01-1967,-0.008666983,-0.021248633,-0.023274198
10-01-1967,0.016729752,-0.015170166,-0.008110814
11-01-1967,0.018472191,-0.002912706,0.012771578
12-01-1967,-0.014504208,0.012738376,-0.097336011
01-01-1968,-0.023004867,0.047312384,-0.025104806
02-01-1968,-0.025066283,0.010273441,0.085973287
03-01-1968,-0.008285333,-0.007188095,0.019510883
04-01-1968,0.021070155,0.001126545,-0.095752059
05-01-1968,0.001664355,0.016485812,-0.080220055
06-01-1968,-0.016260769,0.011459192,0.037926325
07-01-1968,-0.033593543,-0.014286085,0.038406473
08-01-1968,-0.005891365,4.53E-05,-0.0122519
09-01-1968,-0.011821535,0.013569201,-0.048224053
10-01-1968,-0.0278538,-0.000760877,0.046832278
